"","SSB","R","F","Relative SSB","Relative F"
"Case 1",2.06,3.78,2.89,5.35,1.89
"Case 2",2.6,3.86,3.3,6.61,2.42
"Case 3",2.03,3.7,2.63,3.74,1.99
"Case 4",1.86,3.51,3.3,4.95,1.62
"Case 5",2.78,3.83,3.68,3.88,2.5
"Case 6",1.92,3.52,2.64,4.56,1.68
"Case 7",2.09,3.73,3.16,7.15,1.76
"Case 8",27.59,26.92,0,62.85,51.85
"Case 9",1.83,2.93,2.13,3.96,1.74
"Case 10",2.34,3.72,3.54,4.2,2.03
"Case 11",2.32,3.83,3.22,5.55,2.15
"Case 12",24.75,24.72,4.38,4.32,3.8
