"","SSB","R","F","Relative SSB","Relative F"
"Case 1",2.13,4.1,2.75,7.18,2.24
"Case 2",2.19,4.21,2.8,10.16,2.36
"Case 3",2.34,4.22,2.96,6.63,2.45
"Case 4",2.15,4.06,2.67,7.17,2.22
"Case 5",4.43,5.32,4.92,6.5,4.33
"Case 6",2.48,4.24,2.86,7.26,2.56
"Case 7",2.1,4.3,2.58,7.65,2.36
"Case 8",4.03,4.67,3.86,7.39,3.62
"Case 9",1.72,3.42,2.13,6.57,1.97
"Case 10",2.18,4.18,2.71,6.19,2.4
"Case 11",2.91,4.97,3.64,7.58,3.16
"Case 12",25.37,25.18,5.44,7.13,5.26
